timestamp,eval_id,phase,cat,x1,x2,x3,x4,x5,objective
1764691601.9104588,1,PSO_Init,MIX,7,35,12,99,53,-32.0
1764691602.5354693,2,PSO_Init,MIX,35,14,5,49,69,2.0
1764691603.1466796,3,PSO_Init,MIX,72,43,44,7,21,-13.0
1764691603.7537491,4,PSO_Init,MIX,18,44,72,43,90,23.0
1764691604.3664107,5,PSO_Init,MIX,32,21,1,56,100,6.0
1764691604.9762568,6,PSO_Init,MIX,12,77,49,9,1,-24.0
1764691605.5863125,7,PSO_Init,MIX,41,94,58,14,6,-53.0
1764691606.1942172,8,PSO_Init,MIX,12,86,19,17,3,5.0
1764691606.8056142,9,PSO_Init,MIX,38,56,74,62,34,16.0
1764691607.425498,10,PSO_Init,MIX,61,5,99,40,44,41.0
