timestamp,eval_id,phase,cat,x1,x2,x3,x4,x5,objective
1764689047.4396806,1,GA,INT,7,35,12,99,53,-32.0
1764689048.0481484,2,GA,INT,35,14,5,49,69,2.0
1764689048.751309,3,GA,INT,72,43,44,7,21,-13.0
1764689049.3950055,4,GA,INT,18,44,72,43,90,23.0
1764689050.0144403,5,GA,INT,32,21,1,56,100,6.0
1764689050.6428201,6,GA,INT,12,77,49,9,1,-24.0
1764689051.2661211,7,GA,INT,41,94,58,14,6,-53.0
1764689051.8418384,8,GA,INT,12,86,19,17,3,5.0
1764689052.4542894,9,GA,INT,38,56,74,62,34,16.0
1764689053.0800579,10,GA,INT,61,5,99,40,44,41.0
1764689053.6890225,11,GA,INT,67,62,27,78,82,62.0
1764689054.3123136,12,GA,INT,68,73,41,2,51,-9.0
1764689054.9261825,13,GA,INT,99,83,66,56,88,82.0
1764689055.5670214,14,GA,INT,69,82,86,77,63,111.0
1764689056.189873,15,GA,INT,67,86,54,48,66,59.0
1764689056.8021538,16,GA,INT,5,97,83,24,93,-14.0
1764689057.429038,17,GA,INT,11,63,85,34,22,-31.0
1764689058.0361106,18,GA,INT,43,44,71,51,10,-1.0
1764689058.6454628,19,GA,INT,93,59,50,74,100,60.0
1764689059.2541535,20,GA,INT,44,3,25,76,12,-10.0
1764689059.8781064,21,GA,INT,81,47,2,46,30,-32.0
1764689060.5003345,22,GA,INT,52,69,65,93,8,11.0
1764689061.1118603,23,GA,INT,82,37,64,98,81,70.0
1764689061.7235978,24,GA,INT,93,30,70,62,23,18.0
1764689062.3533118,25,GA,INT,20,69,57,49,97,64.0
1764689062.9773886,26,GA,INT,60,6,2,18,59,-13.0
1764689063.6002614,27,GA,INT,25,3,33,46,88,19.0
1764689064.2220259,28,GA,INT,35,56,82,54,1,-26.0
1764689064.846023,29,GA,INT,14,80,9,66,46,23.0
1764689065.4262936,30,GA,INT,91,12,11,56,2,-42.0
1764689066.0790358,31,GA,INT,69,49,10,70,89,19.0
1764689066.720639,32,GA,INT,82,52,4,42,34,-28.0
1764689067.4111958,33,GA,INT,61,5,97,72,43,10.0
1764689068.097632,34,GA,INT,54,45,4,82,82,11.0
1764689068.753349,35,GA,INT,21,54,9,92,87,25.0
1764689069.4099085,36,GA,INT,19,48,86,31,96,-4.0
1764689070.0376067,37,GA,INT,11,81,8,98,67,7.0
1764689070.6933577,38,GA,INT,50,69,40,19,84,54.0
1764689071.3340533,39,GA,INT,99,38,100,50,48,31.0
1764689071.8995478,40,GA,INT,17,69,44,67,16,31.0
1764689072.5318406,41,GA,INT,81,22,76,50,56,73.0
1764689073.1565814,42,GA,INT,8,95,18,59,86,44.0
